Lieu de prêt,Emplacement,"Nb prêt
01/03/18","Nb prêt
02/03/18","Nb prêt
03/03/18","Nb prêt
05/03/18","Nb prêt
06/03/18","Nb prêt
07/03/18","Nb prêt
08/03/18","Nb prêt
09/03/18","Nb prêt
10/03/18","Nb prêt
12/03/18","Nb prêt
13/03/18","Nb prêt
14/03/18","Nb prêt
15/03/18","Nb prêt
16/03/18","Nb prêt
17/03/18","Nb prêt
19/03/18","Nb prêt
20/03/18","Nb prêt
21/03/18","Nb prêt
22/03/18","Nb prêt
23/03/18","Nb prêt
24/03/18","Nb prêt
26/03/18","Nb prêt
27/03/18","Nb prêt
28/03/18","Nb prêt
29/03/18","Nb prêt
30/03/18","Nb prêt
31/03/18"
                         ,AUTOUR DU JEU      ,0,2,0,0,4,3,0,5,0,0,1,4,0,3,1,0,3,3,0,4,0,0,0,1,0,0,5
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
                         ,BD JEUNESSE        ,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX D'ASSEMBLAGE  ,1,5,0,0,6,16,0,8,0,0,3,15,0,6,3,0,3,10,0,8,6,0,2,4,0,4,3
                         ,JEUX D'EXERCICES   ,0,8,9,0,10,23,0,2,0,0,7,7,0,7,4,0,11,14,0,8,7,0,4,10,0,2,3
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX A REGLES      ,0,24,3,0,42,20,0,19,0,0,19,36,0,14,10,0,10,40,0,17,4,0,6,18,4,11,9
                         ,JEUX SYMBOLIQUES   ,1,7,0,0,22,31,0,13,0,0,4,25,0,12,16,0,3,34,0,16,11,0,11,13,0,7,4
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,FONDS PRO          ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,187,199,0,0,411,229,256,332,0,0,308,422,129,202,524,0,219,392,79,183,393,18,173,344,259,121,334
                         ,ALBUMS             ,36,28,0,0,73,32,29,59,0,0,50,97,31,15,97,0,44,120,29,21,73,0,37,73,38,16,50
                         ,ARTS               ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,4,14,0,0,28,6,16,17,0,0,13,43,12,6,58,0,18,23,0,19,27,0,16,21,15,9,35
                         ,BD JEUNESSE        ,33,44,0,0,116,56,50,50,0,0,59,117,23,33,124,0,8,93,5,38,110,14,19,80,48,21,67
                         ,CINEMA ADULTES     ,5,0,0,0,0,1,1,1,0,0,14,2,0,4,0,0,1,0,0,0,0,0,2,5,0,0,1
                         ,CINEMA JEUNESSE    ,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,3
                         ,GEOGRAPHIE         ,0,2,0,0,0,2,0,3,0,0,1,8,0,4,0,0,4,0,0,0,2,0,0,0,1,0,0
                         ,HISTOIRE           ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,1,0,0,0,7,0,0,1,0,0,0,2,0,4,7,0,1,0,0,0,3,0,1,5,0,0,4
                         ,JEUX D'ASSEMBLAGE  ,1,0,0,0,4,1,0,1,0,0,1,3,0,2,3,0,0,1,2,1,1,0,0,4,1,0,2
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,12,14,0,0,27,20,19,79,0,0,29,22,9,20,51,0,9,23,1,10,28,3,11,32,15,3,55
                         ,JEUX SYMBOLIQUES   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,11,3,0,0,19,10,11,7,0,0,1,11,3,4,13,0,11,24,2,5,15,0,2,10,3,10,3
