Lieu de prêt,Emplacement,"Nb prêt
03/07/17","Nb prêt
04/07/17","Nb prêt
05/07/17","Nb prêt
06/07/17","Nb prêt
07/07/17","Nb prêt
10/07/17","Nb prêt
11/07/17","Nb prêt
12/07/17","Nb prêt
13/07/17","Nb prêt
17/07/17","Nb prêt
18/07/17","Nb prêt
19/07/17","Nb prêt
20/07/17","Nb prêt
21/07/17","Nb prêt
24/07/17","Nb prêt
25/07/17","Nb prêt
26/07/17","Nb prêt
27/07/17","Nb prêt
28/07/17","Nb prêt
31/07/17"
                         ,PHILOSOPHIE        ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,1,3,4,10,0,0,21,6,20,0,14,11,9,12,0,13,1,4,24,0
                         ,FONDS PRO          ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,3,5,4,0,0,3,9,3,0,1,4,6,3,1,0,1,0,9,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,1,34,41,40,24,2,51,35,44,0,28,32,58,36,0,33,34,38,36,0
                         ,ROMANS JEUNESSE    ,9,22,30,29,16,0,38,14,42,0,22,34,8,17,1,33,3,18,7,0
                         ,SCIENCES           ,1,2,1,3,0,0,6,6,5,0,0,7,1,4,0,6,1,0,1,0
                         ,SOCIETE            ,0,1,2,4,0,7,1,11,4,0,1,0,0,2,0,3,4,3,2,0
                         ,SPORTS ET LOISIRS  ,1,1,1,5,0,0,1,3,2,0,1,2,0,2,0,2,1,0,3,0
                         ,VIE PRATIQUE       ,0,8,2,11,2,0,14,10,11,0,9,13,14,7,0,3,5,6,9,0
