Lieu de prêt,Emplacement,"Nb prêt
02/11/18","Nb prêt
03/11/18","Nb prêt
05/11/18","Nb prêt
06/11/18","Nb prêt
07/11/18","Nb prêt
08/11/18","Nb prêt
09/11/18","Nb prêt
10/11/18","Nb prêt
12/11/18","Nb prêt
13/11/18","Nb prêt
14/11/18","Nb prêt
15/11/18","Nb prêt
16/11/18","Nb prêt
17/11/18","Nb prêt
19/11/18","Nb prêt
20/11/18","Nb prêt
21/11/18","Nb prêt
22/11/18","Nb prêt
23/11/18","Nb prêt
24/11/18","Nb prêt
26/11/18","Nb prêt
27/11/18","Nb prêt
28/11/18","Nb prêt
29/11/18","Nb prêt
30/11/18"
                         ,JEUX SYMBOLIQUES   ,23,14,0,19,38,0,13,14,0,8,27,0,4,9,0,12,28,0,11,24,0,9,40,1,3
                         ,JEUX VIDEO         ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,4,0,0,2,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
                         ,SCIENCES           ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,VIE PRATIQUE       ,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,274,0,0,277,338,139,247,397,4,245,349,123,230,334,3,159,367,128,120,438,0,272,405,106,242
                         ,ALBUMS             ,43,0,0,73,83,11,51,69,0,30,84,17,26,36,0,31,66,9,50,85,0,99,90,8,72
                         ,ARTS               ,0,0,0,2,1,0,0,3,0,0,1,0,6,0,0,0,1,2,0,3,0,2,0,1,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
                         ,BD ADULTES         ,14,0,0,7,8,16,0,42,0,9,31,8,18,46,0,20,20,4,6,42,0,9,22,6,34
                         ,BD JEUNESSE        ,16,0,0,20,98,10,50,72,0,37,42,6,40,60,3,15,82,14,22,107,0,27,97,29,50
                         ,CINEMA ADULTES     ,0,0,0,2,1,1,1,0,0,1,1,2,2,2,0,0,2,1,0,5,0,0,0,0,1
                         ,CINEMA JEUNESSE    ,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,2,0
