Emplacement,"Nb prêt
01/06/18","Nb prêt
02/06/18","Nb prêt
04/06/18","Nb prêt
05/06/18","Nb prêt
06/06/18","Nb prêt
07/06/18","Nb prêt
08/06/18","Nb prêt
09/06/18","Nb prêt
11/06/18","Nb prêt
12/06/18","Nb prêt
13/06/18","Nb prêt
14/06/18","Nb prêt
15/06/18","Nb prêt
16/06/18","Nb prêt
18/06/18","Nb prêt
19/06/18","Nb prêt
20/06/18","Nb prêt
21/06/18","Nb prêt
22/06/18","Nb prêt
23/06/18","Nb prêt
25/06/18","Nb prêt
26/06/18","Nb prêt
27/06/18","Nb prêt
28/06/18","Nb prêt
29/06/18","Nb prêt
30/06/18"
LOISIRS CREATIFS   ,1,1,0,4,3,1,0,2,1,0,8,4,1,0,0,2,1,0,4,3,0,0,6,1,14,5
MUSIQUE ADULTES    ,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
MUSIQUE JEUNESSE   ,0,1,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3
PRESSE             ,5,13,0,6,3,7,6,5,0,3,10,10,10,20,0,8,12,12,4,12,0,0,25,10,7,2
FONDS PRO          ,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSYCHOLOGIE        ,8,1,1,1,2,3,5,3,0,4,3,5,4,3,0,5,6,1,3,1,0,3,4,13,6,0
RELIGIONS          ,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ROMANS ADULTES     ,54,29,0,59,34,10,13,22,1,31,13,15,47,29,0,38,32,12,24,18,0,47,30,22,48,8
ROMANS JEUNESSE    ,26,21,0,10,38,34,11,25,2,24,63,9,7,22,0,2,44,10,17,67,0,10,15,2,31,35
SCIENCES           ,0,2,0,0,17,13,2,0,0,1,6,3,0,7,0,4,11,0,1,15,0,0,5,6,1,5
SOCIETE            ,1,8,3,4,1,2,3,2,0,1,4,2,6,6,0,11,3,7,0,1,0,1,10,0,1,7
SPORTS ET LOISIRS  ,1,0,0,0,2,0,0,0,0,0,3,0,0,1,0,4,0,1,0,0,0,0,1,1,1,0
VIE PRATIQUE       ,7,15,0,7,4,10,10,12,0,9,8,3,1,4,0,7,10,8,11,8,0,12,15,14,12,12
THEATRE            ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
